Number,Year,Topic,Link PDF,Link Web Page,Title,DOI,Language Page,Authors,Keywords,Summary (in Wix Paragraf row),Copy Banner,Overview/ Gambaran Umum,@
Policy Paper No. 19,2018,Education,https://cutt.ly/CIPS-PP19,,Valorizing Research and Evidence for Social Inclusion in Indonesia: A Practical Guide for Information Uptake in the Indonesian Education Policymaking Process,,English,"Center for Indonesian Policy Studies, UNESCO","education, policy making, unesco, cips, private sectors, education policymaking, valorization, CSO, practical guide","This project, concerning the valorization of evidence in inclusive social development in Southeast Asia, is part of UNESCO’s Inclusive Policy Lab work in the ‘Management of Social Transformations’ (MOST) Programme framework. The objective of the Lab is to support UNESCO Member States as they advance their social policy agendas by making better use of scientific information and knowledge—valorization refers to this process. The Lab aims to improve the South-South sharing of inclusive policy knowledge and practice, increasing availability of policy knowledge and advice in the region, and strengthening social data literacy among policy practitioners and other relevant stakeholders. 

This practical guide constitutes stage 2 of the project and provides recommendations for Indonesian stakeholders to improve inclusivity in education policymaking processes. Thi paper recommend practical actions to improve the valorization of knowledge, that is, the availability, accessibility and usage of evidence in education policymaking processes.",,,
Makalah Kebijakan No. 20,2019,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MK20,https://cutt.ly/CIPS-MakalahKebijakan20,Mengurangi Stunting dengan Reformasi Perdagangan,,Indonesia,"Assyifa Szami Ilman,Iqbal Dawam Wibisono","stunting, reformasi kebijakan, kebijakan perdagangan, harga pangan, prevalensi stunting","Stunting di Indonesia merupakan masalah yang sangat mengkhawatirkan karena telah memengaruhi 30,8% anak-anak di bawah usia lima tahun - hampir delapan juta anak pada tahun 2018. Pemerintah telah merancang beberapa intervensi untuk mengurangi stunting, yang terdiri atas program-program yang dilaksanakan oleh pemerintah pusat dan daerah. Program-program ini bertujuan, misalnya, untuk menciptakan budaya pola konsumsi makanan yang baik dan meningkatkan fasilitas sanitasi. 

Walaupun hal ini akan meningkatkan ketersediaan dan pemanfaatan pangan, program program tersebut tidak cukup untuk mengatasi kurangnya aksesibilitas pangan di Indonesia, yang disebabkan oleh harga komoditas pangan yang sangat tinggi. Studi ini menemukan adanya hubungan yang signifikan antara harga pangan dengan kejadian stunting. Studi ini juga memberikan rekomendasi kebijakan untuk menjamin akses berkelanjutan ke makanan bergizi dalam mengurangi kasus stunting.",,,
Policy Paper No. 20,2019,Food Security & Agriculture,https://cutt.ly/CIPS-PP20,,Reducing Stunting with Policy Reform,,English,"Assyifa Szami Ilman,Iqbal Dawam Wibisono","stunting, policy reform, trade policy, food price, stunting prevalence","Stunting in Indonesia affected 30.8% of children under five years old – almost eight million children in 2018. This makes it a highly troubling policy issue. The government has designed several central and local government interventions to reduce stunting. For example, some programs aim to create awareness of best practices for feeding children and improving sanitation facilities. While these interventions increase the availability and improve the use of food, they do not adequately address the inaccessibility of food in Indonesia, which is the result of high consumer prices for basic food commodities. 

This paper finds a significant correlation between food prices and the incidence of stunting. In order to secure sustainable access to nutritious foods, trade policies that cause higher food prices need to be reviewed because they undermine the effectiveness of the government’s efforts to reduce stunting. Read our recommendations.",,,
Makalah Kebijakan No. 21,2019,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MK21,https://cutt.ly/CIPS-MakalahKebijakan21,Mengoptimalkan Penggunaan Tanah Kas Desa: Studi Kasus Lima Desa di Jawa Tengah,,Indonesia,Center for Indonesian Policy Studies,"Tanah kas desa, desa, Jawa Tengah, BUMDes, ","Berdasarkan Peraturan Kemendagri Nomor 1 Tahun 2016, ada 3 format penggunaan tanah desa: sewa, kerja sama dalam bentuk usaha bersama, dan perjanjian Bangun Guna Serah (BGS). Di antara 3 format ini, mana yang paling optimal menguntungkan desa?
 
#CIPSPolicyPaper kali ini menemukan bahwa dari ketiga format tersebut, menerapkan BGS paling menguntungkan. Selain itu, kami juga merekomendasikan Pasal 14-16 Permendagri Nomor 1 Tahun 2016, tentang penetapan kerja sama BGS hanya dapat dipertimbangkan jika anggaran desa tidak mencukupi, untuk dihilangkan. Lebih lanjut, kami pun mendorong desa-desa untuk menggiatkan kegiatan kewirausahaan dan melibatkan sektor swasta yang terbukti dapat memberikan pemasukan tambahan yang signifikan untuk kas desa. ",,,
Policy Paper No. 21,2019,Community Livelihoods,https://cutt.ly/CIPS-PP21,,Optimizing the Use of Village Treasury Land: A Case Study of Five Villages in Central Java,,English,Center for Indonesian Policy Studies,"village treasury land, village, central java, BUMDes","Based on the Ministry of Home Affairs Regulation 1/2016, there are 3 formats in village land use, which are rental, cooperation in joint ventures, and Build Operate Transfer/Build Transfer Operate (BOT/BTO). Here comes the question, between these 3 formats, which will benefit its people the most?
 
This time, the latest #CIPSPolicyPaper identify that the implementation of BOT/BTO format is the most profitable one for the villagers. Therefore, we recommend Articles 14–16 of MoHA Regulation 1/2016, which stipulates that cooperation in joint ventures and BOT/BTO models can only be considered when village budgets are insufficient, to be dropped. Furthermore, we also encourage villages to intensify entrepreneurial activities and involve the private sector that is proven to be able to provide significant additional income to the village treasury.",,,
Makalah Kebijakan No. 22,2019,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MK22,,Prospek dan Tantangan Padi Hibrida di Indonesia,,Indonesia,"Indra Krishnamurti, Muhammad Diheim Biru","beras hibdrida, produktivitas, petani, ketahanan pangan, harga beras","Indonesia perlu memenuhi kebutuhan beras yang terus meningkat untuk mencegah semakin membumbungnya harga beras. Harga beras di Indonesia kini sudah dua kali lebih mahal daripada harga di pasaran internasional, dan impor beras, yang tidak populer, masih diperlukan untuk menutupi kekurangan ini. Padi hibrida memiliki potensial besar untuk meningkatkan produktivitas. Padi hibrida memiliki produktivitas musiman rata-rata 7 ton/ha, dibandingkan dengan padi inbrida yang hanya mencapai 5,15 ton/ha. Namun, luas tanam padi hibrida hanya kurang dari satu persen dari total luas tanam padi di Indonesia, dan telah mengalami stagnasi selama beberapa tahun.

Benih beras hibrida memiliki potensi untuk memperbaiki panen, namun di Indonesia terdapat aturan yang menghambat pengembangan dan ketersediaan benih beras hibrida. Aturan ini menghalangi petani untuk berinvestasi dan menghasilkan panen yang lebih produktif. Makalah kebijakan publik ini menganjurkan pemerintah untuk memfasilitasi penelitan dan pengembangan terhadap benih beras hibrida dan memberikan akses kepada petani dari pasokan global.",,,
Policy Paper No. 22,2019,Food Security & Agriculture,https://cutt.ly/CIPS-PP22,,Expanding Hybrid Rice Production in Indonesia,,English,"Indra Krishnamurti, Muhammad Diheim Biru","Hybrid rice, rice, productivity, food security, Indonesia, expanding, inbred rice","Rice is a key staple food for Indonesia, though it remains more expensive than international prices due to high consumption demands and low domestic productivity. Hybrid rice seeds are viewed as having the potential to produce better yields, it has an average annual productivity of 7 tonnes/ha, compared to 5.15 tonnes/ha produced by inbred rice. 

However, hybrid rice only amounts to less than one percent of the rice planting area in Indonesia, and has stagnated for several years.  Moreover, regulatory restrictions have hindered the development and availability of hybrid rice seed choices. These barriers have prevented farmers from accessing options to invest, and potentially yield more productive crops. The paper suggests how government can play a role to facilitate better research and development in hybrid rice seeds, and allowing farmers to access better quality farming inputs from global supplies.",,,
Makalah Kebijakan No. 23,2019,Kesempatan Berusaha,https://cutt.ly/CIPS-MK23,,Investasi Cina di Sektor Fintech Indonesia,,English,Ajisatria Suleiman,"fintech, unicorn, gojek, lazada, OJK, pinjaman daring, pinjaman online, bukalapak, tokopedia, payday loan, investasi cina","Terlepas dari besarnya ketimpangan data yang menyulitkan perhitungan yang akurat, namun tetap bisa diasumsikan bahwa penanaman modal asing Cina di Indonesia telah bertumbuh secara signifikan. Badan Koordinasi Penanaman Modal (BKPM) mengumumkan bahwa Indonesia menerima 2,7 miliar dolar penanaman modal asing dari Cina di tahun 2016.

Makalah ini menganalisis investasi Cina di sektor financial technology (fintech) di Indonesia, dari mulai sistem pembayaran hingga pinjaman uang (lending) dan pengelolaan kekayaan. Pembahasan dalam makalah ini secara spesifik akan membahas fintech lending yang dijalankan oleh investor Cina dan mitra lokalnya, yang kini tengah menjadi sumber kontroversi di Indonesia.

Tulisan ini juga mengelaborasi tentang bagaimana para investor Cina merespon iklim regulasi di Indonesia yang kerap berkembang dan menanggapi perdebatan domestik mengenai intensi dan struktur investor Cina di sektor fintech Indonesia, serta membandingkan perdebatan tersebut dengan situasi penanaman modal asing (PMA) Cina di Indonesia yang sebenarnya.",,,
Policy Paper No. 23,2019,Economic Opportunities,https://cutt.ly/CIPS-PP23,https://cutt.ly/cips-pp23,Chinese Investments in Indonesia’s Fintech Sector: Their Interaction with Indonesia’s Evolving Regulatory Governance,,English,Ajisatria Suleiman,"Fintech, chinese investment, chinese, gojek, unicorn, financial technology, FDI, e-commerce, grab, OJK, lending, payment, microfinance, bukapalak, tokopedia, loan, payday loan, we chat, wechat, dana, airpay","This paper analyses Chinese investment in the financial technology (fintech) sector in Indonesia, which ranges from payment systems to lending to wealth management. The paper calls for regulators to react to problems as they arise rather that controlling innovations to allow the market to meet consumer needs.

It will specifically addresses fintech lending both by Chinese investors and their domestic partners as a major source of controversy in Indonesia. It elaborates on how Chinese investors respond to the evolving regulatory environment in Indonesia and addresses local debates over the intentions and structure of Chinese investors in the Indonesian fintech sector, comparing those debates to the actual situation of Chinese FDI in Indonesia.",,,
Makalah Kebijakan No. 24,10/2019,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MK24,https://cutt.ly/CIPS-MakalahKebijakan24,Memerangi Alkohol Ilegal dengan Penegakan Hukum,,Indonesia,"Mercyta Jorsvinna Glorya, Kidung Asmara Sigit",,"Pada April 2018, seratus penduduk Indonesia tewas karena mengonsumsi alkohol ilegal. Mayoritas korban merupakan penduduk Bandung Raya, Jawa Barat. Center for Indonesian Policy Studies (CIPS) menemukan bahwa dalam 10 tahun terakhir, korban jiwa akibat konsumsi alkohol ilegal di Bandung Raya hampir 5 kali lebih tinggi daripada wilayah lainnya di Indonesia.

Indonesia sebaiknya melakukan reformasi regulasi untuk mendorong tersedianya alkohol yang diproduksi sesuai standar agar lebih terjangkau serta dapat diakses lebih mudah. Survei yang dilakukan terhadap konsumen alkohol di Bandung menunjukkan bahwa oplosan adalah kategori yang paling sering dibeli karena murah dan lebih mudah didapat. Dalam makalah kebijakan terbaru ini, kami menguraikan reformasi kebijakan yang diperlukan untuk mengatasi tingginya angka kematian akibat konsumsi alkohol ilegal, terutama alkohol oplosan yang telah terjadi di Bandung Raya dalam beberapa tahun terakhir. ",,,
Policy Paper No. 24,10/2019,Community Livelihoods,https://cutt.ly/CIPS-PP24,https://cutt.ly/cips-pp24,Combating Unrecorded Alcohol Through Law Enforcement: A Case Study in Greater Bandung,,English,"Mercyta Jorsvinna Glorya, Kidung Asmara Sigit",,"Between January and April 2018, more than 100 people across Indonesia died after consuming non-conforming alcohol (oplosan). It contained methanol, which is an industrial alcohol not suitable for human consumption. Many of these cases were concentrated in Greater Bandung, a metropolitan area that comprises of Bandung District (kabupaten), West Bandung District, Bandung City, and Cimahi City, where 57 fatalities were recorded.

It is recommended that Indonesia conducts regulatory reforms that make properly produced alcoholic beverages more affordable and accessible. Surveys among alcohol consumers in Bandung showed that oplosan is mostly being purchased because it is cheaper and more accessible. The paper argues to reduce restrictions on safe and legal alcohol to divert consumers from seeking alcohol in black markets, and improved education and law enforcement efforts on responsible legal alcohol consumption in the interest of public health and safety.",,,
Makalah Kebijakan No. 25,11/2019,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MK25,https://cutt.ly/cips-pp25,Bulog Bernas,,,,,,,,
Policy Paper No. 25,11/2019,Food Security & Agriculture,https://cutt.ly/CIPS-PP25,https://cutt.ly/cips-pp25,Effectiveness of State Trading Enterprises in Achieving Food Security: Case Studies from Bernas in Malaysia and Bulog in Indonesia,,,,,"The issue of food security is of vital concern to many developing countries and various kinds of policy instruments have been employed to achieve stable food sources for growing demands. One of the most predominant policy instruments in both the developed and developing world involves centralised state trading through what are called State Trading Enterprises (STEs). STEs are therefore often an integral aspect of a policy package implemented to address the challenges in achieving the food security objectives of a country. However, although these entities are recognised as an instrument for addressing market challenges, STEs have also been criticised for their distortion of trade and markets through the monopolistic power and government support. 

This report brings together insights from two STEs in Southeast Asia, namely Bernas in Malaysia and Bulog in Indonesia. Each study offers a historical perspective to the financial, economic and social contributions of the STEs, their effectiveness in achieving the domestic food security agenda and several policy suggestions to mitigate the issues within each country.",,,
Makalah Kebijakan No. 26,02/2020,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MK26,https://cutt.ly/cips-mk26,"Dampak Tingginya Harga Pangan terhadap Bantuan Pangan
Non-Tunai (BPNT) di Indonesia
 - Studi Kasus di Nusa Tenggara Timur",,Bahasa Indonesia,Assyifa Szami Ilman,"bpnt, sumba, ntt, kube, e warung, e-warung, harga beras, harga telur, ","Warga prasejahtera Indonesia menggunakan sebagian besar dari penghasilannya untuk membeli makanan, malah seringkali tidak cukup untuk memenuhi kebutuhan. Bantuan Pangan Non-Tunai (BPNT), program sosial dalam bentuk bantuan dalam membeli bahan pangan yang ditujukan kepada keluarga berpenghasilan rendah, telah membantu untuk mengurangi beban mereka. 

Namun, makalah ini menunjukkan bahwa tingginya harga bahan pangan akan mengurangi dampak positif dari BPNT. Hal ini berdasarkan simulasi yang dilakukan bersama ibu-ibu di daerah Sumba Barat dan Sumba Timur, Nusa Tenggara Timur. Kami mengajukan dua rekomendasi kebijakan: mempertahankan program BPNT dan mereformasi kebijakan terkait bahan pangan yang dapat menghalangi tujuan dan efektivitas program BPNT.
","Tingginya harga bahan pangan mengancam manfaat yang dapat diberikan Bantuan Pangan Non-Tunai BPNT) kepada keluarga prasejahtera. Melalui simulasi, CIPS menelusuri bagaimana harga pangan yang tinggi memengaruhi keputusan belanja & mengurangi asupan nutrisi suatu keluarga para ibu di Nusa Tenggara Timur. Makalah ini mengajukan dua rekomendasi kebijakan untuk menjamin keluarga prasejahtera dapat memaksimalkan manfaat yang mereka peroleh dari program BPNT.",,
Policy Paper No. 26,02/2020,Food Security & Agriculture,https://cutt.ly/CIPS-PP26,https://cutt.ly/cips-pp26,Effects of High Food Prices on Non-Cash Food Subsidies (BPNT) in Indonesia - Case Study in East Nusa Tenggara,,English,Assyifa Szami Ilman,"Non-Cash Food Subsidies, Food prices in Indonesia, rice, eggs, sumba, east nusa tenggara, e-warong, e warong, kube, PKH, ilman","Indonesians living in poverty spend the majority of their income on food on often inadequate food consumption. The Non-Cash Food Subsidy (BPNT), a social program to support low income families with food spending has helped alleviate this burden. However, this paper shows that high food prices will impair the positive impacts of BNPT, based on conducted experiments with mothers in West Sumba and Southwest Sumba districts, East Nusa Tenggara. 

Positive nutritional effects of the BPNT program are being reduced by high rice and egg prices in Indonesia. The government should complement the BPNT program with policy reforms that reduce food prices in the country. Price interventions have not kept prices within the set range for these food commodities. We outline two policy recommendations: maintain the BPNT Program & reform food policies that undermine the purpose and effectiveness of the Program.","High food prices are threatening the benefits of the Non-Cash Food Subsidy (BPNT) on low-income families. Through experimental simulations, CIPS tracked how spending decisions change and a family’s nutritional intake is undermined when mothers in  East Nusa Tenggara are faced with higher food prices. This paper outlines policy recommendations to ensure poor households are able to maximize the benefit they receive from BNPT. ",,
Makalah Kebijakan No. 27,05/2020,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MakalahKebijakan27,https://cutt.ly/cips-mk27,Melindungi Masyarakat: Memajukan Hak-Hak Konsumen Digital,,Indonesia,Ira Aprilianti,"perlindungan konsumen, digital, ekonomi digital, ira, e-commerce, sipena, ojk, bpkn, tokopedia, e-commerce, e-court, google","Antara tahun 2015-2019, ekonomi digital Indonesia meningkat 4 kali lipat dan telah masuk ke banyak sektor ekonomi. Pada isu hak dan perlindungan konsumen, regulator berjuang untuk mengikuti cepatnya pertumbuhan. Apa yang dibutuhkan adalah kerangka kerja peraturan yang jelas dan kesepakatan pada peran dari pemerintah dalam ekonomi digital untuk menemukan keseimbangan antara pertumbuhan dan inovasi digital serta memastikan perlindungan konsumen. 

Makalah Kebijakan CIPS ini memparkan pertumbuhan ekonomi digital Indonesia, tantangan yang ditemui untuk melindungi hak-hak konsumen di dunia maya, dan peraturan serta kerangka kerja institusional yang ada. Makalah ini juga mengajukan tujuh rekomendasi kebijakan untuk pembuat kebijakan Indonesia yang bertujuan untuk memperkuat peraturan perlindungan konsumen tanpa mengorbankan potensi pertumbuhan ekonomi digital Indonesia.","Antara tahun 2015-2019, ekonomi digital Indonesia meningkat 4 kali lipat dan telah masuk ke banyak sektor ekonomi. Pada isu hak dan perlindungan konsumen, regulator berjuang untuk mengikuti cepatnya pertumbuhan. Kami memaparkan 7 rekomendasi kebijakan kepada pembuat kebijakan Indonesia dengan tujuan memperkuat peraturan dan kerangka kerja institusional demi melindungi konsumen tanpa mengorbankan potensi pertumbuhan ekonomi digital Indonesia.",,
Policy Paper No. 27,05/2020,Community Livelihoods,https://cutt.ly/PolicyPaper27,https://cutt.ly/cips-pp27,Protecting People: Promoting Digital Consumer Rights,,English,Ira Aprilianti,,"Between 2015-2019, the size of Indonesia’s internet economy has quadrupled and now cuts across various sectors of the economy. While the digital economy is booming, the Indonesian government is struggling to keep up with the protection of digital consumer rights. What is needed is a clear regulatory framework and consensus on the role of the government within the digital economy in order find balance between growth and digital innovations and ensuring consumer protection.

CIPS’ Protecting People: Promoting Digital Consumer Rights Policy Paper outlines the growing of Indonesia’s digital economy, challenges surrounding the protection of consumer rights in the digital space, and the existing regulatory and institutional frameworks to ensure consumer protection. This policy paper also presents seven policy recommendations for Indonesian policymakers that aim to strengthen the regulatory and institutional framework for consumer protection without sacrificing potential growth of Indonesia’s digital economy.","Between 2015-2019, the size of Indonesia’s internet economy has quadrupled but the policymakers struggle to keep up with such growth to ensure the protection of consumer rights. We’ve outlined seven policy recommendations for Indonesian policymakers that aim to strengthen the regulatory and institutional framework for consumer protection without sacrificing the potential growth of Indonesia’s digital economy.
",,
Policy Paper No. 28,09/2020,Food Security & Agriculture,https://cutt.ly/PolicyPaper28,https://cutt.ly/cips-pp28,Promoting Food Safety in Indonesia’s Online Food Delivery Services,,English,Ira Aprilianti & Felippa Amanta,"food safety, online food delivery service, gojek, grab, gofood, grabfood, giz, ira, felippa, plastic ban, bpom, ministry of health, SME, small businesses, ","Indonesia’s online food delivery sector is expected to grow by 11.5% annually from 2020 to 2024. Food delivery also opened opportunities for small F&B business owners to sell products. However with the entrance of more vendors, ensuring food safety remains a challenge.

This policy paper analyzes food safety challenges in light of the growing online food delivery sector in Indonesia. The paper addresses food safety standards, pre-market certification, and post-market supervision. Through this paper CIPS also calls for regulators to reduce barriers to market entry for micro-small sized enterprises, and incorporate co-regulation approached in the policy making process with the private sector.","Indonesia’s online food delivery sector is expected to grow by 11.5% annually from 2020 to 2024. Food delivery also opened opportunities for small F&B business owners to sell products. However with the entrance of more vendors, ensuring food safety remains a challenge. We outline three practical recommendations for regulatory and institutional reforms that would support continued growth of food delivery services while improving the safety of food products for consumers. ","Delegating responsibility for post-market supervision to subnational governments can also create unequal food safety standards and practices.
Problems with pre-market certification undermine the food safety system as it makes the products of informal businesses harder to trace and monitor.
Bans on single-use plastics have unintended consequences for food merchants and food delivery services.
Food safety enforcement by the government is difficult considering the number of informal MSMEs as well as institutional and regulatory challenges. Hence, food safety also relies on private sector initiatives, including food merchants and third parties in e-commerce.
While Indonesia’s private sector initiatives on food safety are still relatively new and unsystematic, private sector initiatives in other countries and economic communities are more robust and can offer lessons for Indonesian governments and companies.",
Makalah Kebijakan No. 28,09/2020,Food Security & Agriculture,https://cutt.ly/MakalahKebijakan28,https://cutt.ly/cips-mk28,"Memajukan Keamanan Pangan pada Layanan Pesan Antar
Makanan Daring di Indonesia",,Indonesia,Ira Aprilianti & Felippa Amanta,"keamanan pangan, layanan antar makanan, pesan makan onlie, gojek, grab, gofood, grabfood, UMKM, UU Pangan, BPOM, Pippa, Ira","
Di Indonesia, jasa pesan antar makanan daring diperkirakan tumbuh sebesar 11,5% setiap tahunnya dari tahun 2020 sampai 2024. Jasa jenis ini telah membuka kesempatan bagi para pemilik UMKM makanan dan minuman untuk berjualan. Namun, semakin bertambahnya jumlah penjual menjadi tantangan tersendiri dalam usaha menjaga keamanan pangan.

Makalah kebijakan ini menganalisis tantangan keamanan pangan di tengah berkembangnya sektor jasa pengiriman makanan daring atau online di Indonesia. Di dalam, kami membahas standar-standar keamanan pangan, proses sertifikasi makanan dan minuman, dan pengawasan mutu pangan. Melalui makalah ini, CIPS mengajak pemangku kebijakan untuk mengurangi hambatan masuk pasar bagi UMKM, dan mengajak sektor swasta untuk merumuskan kebijakan bersama.",,"Pembagian tanggung jawab pengawasan mutu pangan kepada pemerintah daerah dapat menyebabkan praktik penjagaan mutu pangan tidak seragam.
Permasalahan dalam proses sertifikasi makanan dan minuman menyebabkan produk bisnis informal sulit dilacak dan diawasi, sehingga mengurangi efektivitas sistem keamanan pangan.
Implementasi kebijakan terkait keamanan pangan oleh pemerintah sulit dilakukan karena banyaknya jumlah Usaha Mikro, Kecil, dan Menengah (UMKM) yang bersifat informal dan adanya tantangan-tantangan dari sisi kelembagaan dan peraturan. Oleh karena itu, keamanan pangan juga bergantung kepada inisiatif sektor privat, termasuk pedagang makanan dan pihak ketiga di dalam perdagangan secara elektronik.
Meskipun inisiatif sektor privat di Indonesia dalam usaha menjaga keamanan pangan masih terbilang baru dan tidak sistematis, inisiatif sektor privat di komunitas ekonomi dan negara-negara lain dapat menjadi contoh bagi pemerintah dan perusahaan-perusahaan Indonesia.",
Policy Paper No. 29,09/2020,Community Livelihoods,https://cutt.ly/PolicyPaper29,https://cutt.ly/cips-pp29,A Policy Perspective on Tobacco Farming and Public Health in Indonesia,,English,Pingkan Audrine,"tobacco, cigarette, farmers, smoking, ends, vape, electric cigarette, health policy, tobacco farming, tax revenue, cigarette industri","Indonesia’s cigarette industry is a significant contributor to employment and tax revenue collection. However, it is also responsible for enormous public health and economic costs, as smoking related health expenditures in Indonesia amount to approximately USD 1.2 billion per year and another USD 6.8 billion in indirect economic costs. Hence, policies targeting the tobacco farming and cigarette industries face a dilemma of public health versus rural livelihoods. 

This policy paper outlines policy ideas and recommendations for Indonesian policymakers with the aim of reducing cigarette consumption in Indonesia. The paper also explores the need for technical support to enable farmers to grow tobacco for other purposes besides traditional cigarettes. 
","Tobacco is a double-edged sword for Indonesia: it is a significant contributor to Indonesia’s tax revenues but is also responsible for high public health costs.

To explore constructive solutions, we outline four recommendations in our latest policy paper.","The contribution of tobacco excise taxes to total excise revenues creates a dilemma for the government, as they would lose an important source of tax revenues should it pursue the goals of dramatically reducing tobacco consumption that negatively impact public health.
Significant increase in underage smoking reveals serious enforcement problems on the control of cigarette sales.
In 2019, tobacco-related expenses were the second largest contributor to poverty after rice expenditures
Evaluations of existing programs should inspire coordinated activities in a National Tobacco Road Map that needs to replace existing and often-times contradictory policies from various ministries ",
Makalah Kebijakan No. 29,09/2020,Kesejahteraan Rakyat,https://cutt.ly/MakalahKebijakan29,https://cutt.ly/cips-mk29,"Sebuah Perspektif Kebijakan terhadap Perkebunan Tembakau
dan Kesehatan Masyarakat di Indonesia",,Indonesia,Pingkan Audrine,"tembakau, rokok, petani, merokok, ends, vape, rokok eletkrik, kebijakan kesehatan, perkebunan tembakau, cukai, kesejahteraan  petani, perokok pasif, industri rokok","Industri rokok adalah kontributor utama ketersediaan lapangan pekerjaan dan pendapatan pajak di Indonesia. Namun, rokok juga menyebabkan masalah kesehatan masyarakat dan kerugian ekonomi akibat biaya kesehatan yang jumlahnya mencapai 1,2 triliun dolar AS per tahun. Oleh karena itu, kebijakan yang menargetkan industri rokok dan pertanian tembakau  menghadapi dilema kesehatan masyarakat versus kesejahteraan petani tembakau.

Makalah kebijakan ini menguraikan gagasan dan rekomendasi untuk para pemangku kebijakan yang bertujuan untuk mengurangi konsumsi rokok di Indonesia. Makalah ini juga membahas pentingnya memberikan dukungan teknis yang memungkinkan petani menanam tembakau untuk keperluan lain selain rokok tradisional.","Tembakau adalah pedang bermata dua bagi Indonesia: selain merupakan kontributor utama pendapatan pajak nasional, ia juga menyebabkan tingginya kerugian ekonomi akibat biaya kesehatan.

Makalah kebijakan CIPS yang terbaru memaparkan empat rekomendasi kebijakan untuk mengatasi masalah ini.","Kontribusi pajak cukai tembakau terhadap total pendapatan cukai menciptakan dilema bagi pemerintah. Mereka akan kehilangan sumber pendapatan pajak jika konsumsi tembakau berkurang secara dramatis.
Peningkatan signifikan jumlah perokok di bawah umur menunjukkan masalah penegakan hukum dalam pengendalian penjualan rokok.
Pada tahun 2019, pengeluaran terkait tembakau menjadi penyumbang kemiskinan terbesar kedua setelah pengeluaran beras.
Evaluasi program yang sudah ada harus mendorong aktivitas yang terkoordinasi pada Peta Jalan Tembakau Nasional yang perlu mengganti kebijakan di berbagai kementerian yang bertentangan satu dengan yang lainnya.
",
Public Policy No. 30,01/2021,Community Livelihoods,https://cutt.ly/CIPS-PolicyPaper30,https://cutt.ly/cips-pp30,Co-regulating the Indonesian Digital Economy,,English,"Ira Aprilianti, Siti Alifah Dina","digital economy, digital indonesia, coregulation, digital economy policy, public private dialogue, cyber security, e-payment, data privacy, siti alifah dina, ira aprilianti, regulatory sandbox, OJK, CIPE, co-regulating","Indonesia’s digital economy experienced the fastest growth among Southeast Asian countries in 2019. The Covid-19 pandemic has accelerated this trend. In doing so, it has also expanded economic opportunities for millions of Indonesians that could support economic recovery and even economic growth for the country.

However, an appropriate regulatory approach is urgently needed to accommodate emerging business models and innovations in the digital space. To promote an enabling digital economy that is safe, trusted, and inclusive, policy solutions are needed in four key areas: consumer protection, data privacy, cybersecurity, and e-payments. This policy paper outlines how co-regulation could be the most appropriate approach amid Indonesia's rapidly changing digital economy landscape.","The Covid-19 pandemic has accelerated the growth of Indonesia’s digital economy. This growth has expanded economic opportunities accessible for millions of Indonesians that could support economic recovery and even economic growth for the country. However, an appropriate regulatory approach is urgently needed to promote a digital economy that is safe, trusted, and inclusive.

Read our latest policy paper on how co-regulation would enable this amid the rapidly changing digital economy landscape in Indonesia.",,
